兡	bhkeuo
誧	bjovvi
夶	bkvuv
夶	bkvuvu
壿	cwvo
壿	cwvoou
瑽	cyvvuu
弔	dcava
弔	dcavai
呾	dfooi
呾	dfooiv
呾	dsooi
呾	dsooiv
墫	dwvoo
墫	dwvoou
兙	ekkeuo
蝜蝂	fjbfi
蝜	fjiaua
蹠	fkoiov
㩼	fkuau
㩼	fkuauo
佮	geii
佮	geiivo
㹴	grua
㹴	gruavi
𬒔	grvu
𬒔	grvuiv
兝	gyfnuo
椛	hqvii
椛	hqviii
兞	hzkeuo
䜰	hzuou
䜰	hzuoui
苂	jfiiou
檵	jkvaa
檵	jkvaao
嗧	jslwau
𪤗	lcvo
𪤗	lcvoao
兣	lkkeuo
糎	lkmkou
䜮	lzuo
䜮	lzuooo
骹	qciao
骹	qciaov
兛	qmkeuo
粁	qmmkou
瓩	qmwsva
姫	qnau
姫	qnauvi
惢	sloao
惢	sloaoa
𡘙	thvu
𡘙	thvuvu
喎	who
喎	whoiaa
翄	wkao
翄	wkaouo
歘	wqou
歘	wqouua
枔	xbvi
枔	xbvioa
歘	xlouua
苂	ybiio
苂	ybiiou
嘢	yeoia
嘢	yeoiav
鵺	yeovu
鵺	yeovui
昖	yfoiuo
喦	yfooi
喦	yfooia
犽	ysuava
橒	ywvvoa
囃	zsovi
囃	zsovii
墫	zwvo
墫	zwvoou
